,run,orbSize,simTicks,hostSeconds,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,numHits,numMisses,numRdHits,numWrHits,numRdMisses,numWrMisses,numColdMisses,numHotMisses,numWrBacks,totNumConf,totNumConfBufFull,timeInDramRead,timeInDramWrite,timeInWaitingToIssueNvmRead,timeInNvmRead,timeInNvmWrite,drRdQingTime,drWrQingTime,nvmRdQingTime,nvmWrQingTime,drRdDevTime,drWrDevTime,nvRdDevTime,nvWrDevTime,totNumPktsDrRd,totNumPktsDrWr,totNumPktsNvmRdWait,totNumPktsNvmRd,totNumPktsNvmWr,maxNumConf,maxDrRdEvQ,maxDrRdRespEvQ,maxDrWrEvQ,maxNvRdIssEvQ,maxNvRdEvQ,maxNvRdRespEvQ,maxNvWrEvQ,dram.avgRdBW,dram.avgWrBW,dram.peakBW,dram.busUtil,dram.busUtilRead,dram.busUtilWrite,nvm.avgRdBW,nvm.avgWrBW,nvm.peakBW,nvm.busUtil,nvm.busUtilRead,nvm.busUtilWrite,dram.avgBusLat,nvm.avgBusLat,totBW,ARL,AWL,totBusUtil%,avgDramRdQingTime,avgDramWrQingTime,avgNvmRdQingTime,avgNvmWrQingTime,missRatio,HitRatio
66,ddr4 12 L RO Hit,1,1000000004933,91.66,50049896,59940.112097,nan,3203193136.198648,0,49787750,262145,49787750,0,262145,0,262145,0,0,0,0,984582168908,4923666100,9830550000,4585702485,0,109109405568,338225760,9830812145,0,875472763340,4585440340,4585440340,0,50049895,262145,65537,65537,0,0,1,1,1,1,1,1,0,3203.193328,16.777280,19207.00,16.76,16.68,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,3.203193136198648,59.940112097,,16.85,2.1800126767099113,1.290223960022125,150.00399995422433,,0.5237673221139161,99.47623067987993
67,ddr4 12 L RO Hit,2,1000000004679,224.70,92381586,52456.909792,nan,5912421156.335781,0,92119439,262145,92119439,0,262145,0,262145,0,0,0,0,1975195333219,8067033698,17432785728,5792612805,0,359256665891,3481593358,18639958193,0,1615938667328,4585440340,4585440340,0,92381584,262145,131001,131001,0,0,2,2,2,1,2,2,0,5912.421476,16.777280,19207.00,30.87,30.78,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,5.912421156335781,52.456909792,,30.96,3.8888342279452583,13.281173999122622,142.28867102541201,,0.2837632599206513,99.71623457514575
68,ddr4 12 L RO Hit,4,1000000035344,299.53,138533493,56050.965925,nan,8866142918.635046,0,138271344,262145,138271344,0,262145,0,262145,0,0,0,0,3958406792270,11032697876,29646002760,6213488584,0,1535179002682,6447257536,31274051004,0,2423227789588,4585440340,4585440340,0,138533489,262145,255314,255314,0,0,4,4,4,2,4,4,0,8866.143239,16.777279,19207.00,46.25,46.16,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,8.866142918635045,56.050965925,,46.34,11.081645411255037,24.594241873772148,122.49250336448452,,0.18922860769850075,99.8107685049131
69,ddr4 12 L RO Hit,8,1000000004817,300.96,141550754,83557.859961,nan,9059247444.361607,0,141288601,262145,141288601,0,262145,0,262145,0,0,0,0,7951158504918,8396848124,37093768362,8600316338,0,5475152855886,3811407784,41108644360,0,2476005649032,4585440340,4585440340,0,141550746,262145,262097,262097,0,0,8,8,4,1,8,7,0,9059.248212,16.777280,19207.00,47.25,47.17,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,9.059247444361606,83.55785996099999,,47.34,38.679788066154025,14.539311388735241,156.84515412232875,,0.185195057314919,99.814799291002
70,ddr4 12 L RO Hit,16,1000000018305,370.03,145177434,137035.854861,nan,9291354517.921757,0,144915273,262145,144915273,0,262145,0,262145,0,0,0,0,15938560552829,10053256712,36383923247,16190029666,0,13399117157173,5467816372,47988512573,0,2539443395656,4585440340,4585440340,0,145177418,262145,261316,261316,0,0,16,14,11,9,16,12,0,9291.355158,16.777280,19207.00,48.46,48.37,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,9.291354517921757,137.035854861,,48.550000000000004,92.2947751913662,20.8579845963112,183.6416927130371,,0.18056869637191686,99.81942028263153
71,ddr4 12 L RO Hit,32,1000000002481,386.79,162820936,222403.120878,nan,10420537574.146645,0,162558759,262145,162558759,0,262145,0,262145,0,0,62,18,31801894401898,12453428476,35462192574,37537907456,0,28953831149130,7867988136,68414659690,0,2848063252768,4585440340,4585440340,0,162820904,262145,255859,255859,0,32,32,14,22,13,25,14,0,10420.538214,16.777280,19207.00,54.34,54.25,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,10.420537574146644,222.40312087799998,,54.43000000000001,177.8262522675221,30.013878334509528,267.39203893550746,,0.1610020224917513,99.83897832401603
72,ddr4 12 L RO Hit,64,1000000002228,784.57,215545083,320937.460571,nan,13794880801.265005,0,215282874,262145,215282874,0,262145,0,262145,0,0,158,90,63673383651465,12882215542,39295969504,51808937654,0,59903070179117,8296775202,86519466818,0,3770313472348,4585440340,4585440340,0,215545019,262145,260590,260590,0,32,64,14,45,13,33,14,0,13794.881889,16.777280,19207.00,71.91,71.82,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,13.794880801265005,320.93746057100003,,72.0,277.9144257521302,31.649564943065858,332.0137642196554,,0.12161956856144104,99.87835073927435
73,ddr4 12 L RO Hit,128,1000000002845,1116.66,268341193,499632.858045,nan,17173827663.140461,0,268078920,262145,268078920,0,262145,0,262145,0,0,383,289,127553770821369,12363302512,36622847198,48189974601,0,122859948912389,7777862172,80227381459,0,4693821908980,4585440340,4585440340,0,268341065,262145,257544,257544,0,32,128,14,78,13,40,14,0,17173.828943,16.777280,19207.00,89.50,89.41,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,17.17382766314046,499.632858045,,89.59,457.84997131314583,29.670076377577296,311.5094176490231,,0.0976909273858673,99.90226137214796
74,ddr4 12 L RO Hit,256,1000000001310,1750.34,283674604,923889.159988,nan,18155157800.216740,0,283412203,262145,283412203,0,262145,0,262145,0,0,891,736,255262540512421,12077251628,37104532549,54009875699,0,250300508817205,7491811288,86528967908,0,4962031695216,4585440340,4585440340,0,283674348,262145,251877,251877,0,32,256,14,142,13,64,14,0,18155.159080,16.777280,19207.00,94.61,94.52,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,18.155157800216738,923.8891599880001,,94.7,882.3515787800629,28.578883015125218,343.5365988478503,,0.09241045772289154,99.90749929803374
75,ddr4 12 L RO Hit,512,1000000001488,2868.45,285510100,1812714.508952,nan,18272613156.810352,0,285247443,262145,285247443,0,262145,0,262145,0,0,1904,1641,510668673974788,12034070446,37666670556,60928003242,0,505674540261492,7448630106,94009233458,0,4994133713296,4585440340,4585440340,0,285509588,262145,249320,249320,0,32,512,14,272,13,64,14,0,18272.614437,16.777280,19207.00,95.22,95.14,0.09,16.78,0.00,19207.00,0.09,0.09,0.00,3332.00,3332.00,18.27261315681035,1812.714508952,,95.31,1771.1298026933232,28.414160506589866,377.0625439515482,,0.09181636656636664,99.90800430527676
